Date,Winner,Loser
28.12.1969,1,3
14.01.1970,2,8
01.02.1970,1,3
07.02.1970,3,8
15.02.1970,2,9
15.02.1970,2,8
18.02.1970,1,2
20.02.1970,3,9
22.02.1970,3,11
22.02.1970,2,11
22.02.1970,2,3
02.03.1970,3,9
03.03.1970,2,11
04.03.1970,2,9
10.04.1970,2,9
23.04.1970,2,9
24.04.1970,2,9
26.04.1970,2,8
29.04.1970,2,9
29.04.1970,1,8
29.04.1970,2,8
12.05.1970,2,9
13.05.1970,2,9
16.05.1970,1,9
16.05.1970,2,8
20.05.1970,2,9
20.05.1970,2,8
24.05.1970,2,9
24.05.1970,2,8
01.06.1970,1,9
01.06.1970,1,8
11.06.1970,2,9
11.06.1970,2,8
22.06.1970,1,9
22.06.1970,4,9
30.06.1970,2,9
01.07.1970,4,9
02.07.1970,3,8
02.07.1970,2,6
03.07.1970,5,8
12.07.1970,3,9
13.07.1970,2,9
13.07.1970,5,8
13.07.1970,2,8
24.07.1970,6,9
27.07.1970,3,8
29.07.1970,2,9
29.07.1970,7,8
29.07.1970,1,8
10.08.1970,3,9
18.08.1970,2,8
22.08.1970,2,9
05.09.1970,2,9
05.09.1970,2,8
10.10.1970,7,11
14.10.1970,2,9
14.10.1970,2,8
24.12.1970,3,5
23.01.1971,2,9
04.02.1971,7,8
04.03.1971,1,4
10.03.1971,8,9
22.03.1971,7,8
15.05.1971,2,8
03.06.1971,6,7
05.06.1971,3,8
09.06.1971,8,7
19.06.1971,9,7
20.06.1971,9,8
24.06.1971,7,9
03.07.1971,9,8
28.07.1971,3,11
29.07.1971,9,8
06.08.1971,6,4
28.08.1971,8,9
31.08.1971,2,9
09.09.1971,2,7
09.09.1971,9,8
12.09.1971,9,8
20.09.1971,3,10
29.09.1971,4,8
23.02.1972,7,8
01.03.1972,2,6
05.03.1972,6,9
24.03.1972,2,8
21.04.1972,6,8
03.05.1972,7,8
08.05.1972,1,10
12.06.1972,2,8
12.06.1972,7,6
08.07.1972,4,14
17.07.1972,2,9
21.07.1972,10,14
30.07.1972,2,10
11.08.1972,7,8
16.08.1972,7,4
17.08.1972,2,3
19.08.1972,2,6
06.11.1972,11,7
11.11.1972,9,6
28.11.1972,7,9
20.12.1972,7,6
29.01.1973,2,3
22.02.1973,2,9
05.05.1973,5,10
22.05.1973,6,5
01.06.1973,4,8
10.07.1973,6,11
10.07.1973,2,3
07.08.1973,7,14
08.09.1973,2,4
12.10.1973,5,1
12.10.1973,5,6
10.11.1973,6,10
29.11.1973,1,10
03.01.1974,4,11
04.01.1974,2,14
18.02.1974,6,14
21.02.1974,2,14
21.02.1974,2,8
22.02.1974,5,14
03.03.1974,5,10
03.03.1974,6,10
25.03.1974,7,10
11.05.1974,1,13
11.05.1974,5,10
07.06.1974,6,10
11.06.1974,8,14
11.06.1974,6,14
12.06.1974,7,8
17.06.1974,7,10
18.07.1974,6,14
