Date,Winner,Loser
04.02.1978,1,3
30.03.1978,2,3
12.05.1978,2,5
12.05.1978,2,3
18.05.1978,3,7
05.06.1978,2,1
12.06.1978,2,1
12.06.1978,2,7
13.06.1978,2,3
16.06.1978,2,7
16.06.1978,2,4
23.06.1978,2,1
23.06.1978,2,4
29.06.1978,2,3
03.07.1978,2,3
04.07.1978,2,4
06.07.1978,2,1
08.07.1978,2,4
12.07.1978,3,4
21.07.1978,2,5
24.07.1978,3,4
27.07.1978,3,4
28.07.1978,2,7
29.07.1978,2,5
01.08.1978,2,4
01.08.1978,2,3
21.08.1978,2,4
21.08.1978,3,4
24.08.1978,1,4
24.08.1978,2,3
27.08.1978,2,5
29.08.1978,2,1
29.08.1978,2,5
29.08.1978,2,3
08.09.1978,4,7
13.09.1978,2,5
13.09.1978,2,3
27.09.1978,2,1
01.10.1978,2,4
10.10.1978,2,4
11.10.1978,1,4
13.10.1978,2,1
13.10.1978,2,4
17.10.1978,2,1
19.10.1978,1,3
20.10.1978,2,1
22.10.1978,2,4
28.10.1978,2,1
03.11.1978,2,3
08.11.1978,3,4
09.11.1978,2,1
09.11.1978,3,1
09.11.1978,2,5
09.11.1978,3,7
09.11.1978,2,4
16.11.1978,2,4
19.11.1978,2,1
23.11.1978,2,1
23.11.1978,2,4
24.11.1978,2,7
25.11.1978,2,3
02.12.1978,3,7
02.01.1979,2,1
02.01.1979,2,3
08.01.1979,2,1
14.01.1979,2,1
15.01.1979,1,2
15.01.1979,2,5
15.01.1979,2,4
15.01.1979,2,3
25.01.1979,3,5
06.02.1979,5,2
09.02.1979,2,1
13.02.1979,2,4
17.03.1979,2,1
17.03.1979,2,3
20.03.1979,2,5
14.04.1979,2,7
17.04.1979,2,1
22.04.1979,2,4
20.05.1979,3,2
21.06.1979,4,5
23.06.1979,2,4
23.06.1979,2,3
30.06.1979,2,3
06.07.1979,2,4
10.07.1979,2,4
14.07.1979,4,5
15.07.1979,2,7
18.07.1979,2,3
19.07.1979,4,5
19.07.1979,2,4
20.07.1979,4,7
20.07.1979,3,7
20.07.1979,3,4
22.07.1979,2,5
22.07.1979,2,3
26.07.1979,2,4
27.07.1979,4,3
28.07.1979,4,5
01.08.1979,3,4
04.08.1979,2,4
06.08.1979,2,3
07.08.1979,2,4
10.08.1979,2,4
10.08.1979,2,3
15.08.1979,2,3
16.08.1979,2,3
19.08.1979,2,7
19.08.1979,2,4
19.08.1979,2,3
23.08.1979,2,3
05.09.1979,3,4
10.09.1979,2,5
15.09.1979,2,3
16.09.1979,2,5
25.09.1979,6,2
25.09.1979,6,7
28.09.1979,4,2
28.09.1979,2,4
09.10.1979,6,4
19.10.1979,2,7
16.11.1979,2,6
18.11.1979,2,1
22.11.1979,2,1
24.11.1979,2,1
28.11.1979,2,7
28.11.1979,2,3
14.12.1979,6,3
04.01.1980,6,1
14.01.1980,2,7
24.01.1980,2,1
28.02.1980,2,3
09.03.1980,2,7
20.03.1980,1,7
30.03.1980,6,3
31.03.1980,6,1
31.03.1980,6,3
01.04.1980,2,3
16.04.1980,2,7
05.05.1980,2,1
21.05.1980,6,2
24.05.1980,2,1
02.06.1980,2,1
03.06.1980,2,7
22.06.1980,2,1
22.06.1980,2,3
28.06.1980,3,6
08.07.1980,2,1
09.07.1980,2,1
09.07.1980,2,3
23.07.1980,2,3
16.08.1980,2,7
21.08.1980,2,5
21.08.1980,2,3
01.09.1980,2,3
17.10.1980,2,3
23.10.1980,2,1
05.11.1980,2,1
20.11.1980,6,7
20.11.1980,3,8
21.11.1980,2,8
29.11.1980,2,7
30.11.1980,1,8
04.12.1980,2,1
04.12.1980,2,8
04.12.1980,7,8
04.12.1980,2,3
05.12.1980,6,8
19.12.1980,1,7
19.12.1980,2,7
19.12.1980,2,3
28.12.1980,1,8
02.01.1981,3,8
20.01.1981,8,5
20.01.1981,3,8
08.02.1981,2,1
08.02.1981,2,5
08.02.1981,2,3
10.02.1981,6,8
10.02.1981,3,8
21.02.1981,5,8
10.03.1981,6,8
20.03.1981,2,5
21.03.1981,3,8
16.04.1981,1,8
12.06.1981,3,1
17.06.1981,6,8
30.06.1981,2,1
30.06.1981,1,8
09.07.1981,6,1
18.07.1981,3,8
26.07.1981,6,7
26.07.1981,1,8
